NE ID;END ID;TIPO TOP
CSPG01;SPCER_0003;NÃO TOP
CUWL02;SPCXT_0001;TOP
CVNC01;SPCPV_0002;TOP
CVNE01;SPCPV_0003;TOP
CVSC01;SPCPV_0004;NÃO TOP
CVSJ01;SPCPV_0005;NÃO TOP
CWCT01;SPCVT_0001;TOP
CYRD01;SPCAJT0001;NÃO TOP
CYRD04;SPCAJT0002;NÃO TOP
CZCT01;SPCRO_0001;TOP
CZFP01;SPCRO_0002;TOP
DAMG01;SPPDD_0001;NÃO TOP
DARD01;SPPDD_0002;TOP
DBCT01;SPDBD_0001;NÃO TOP
DBRD01;SPDBD_0002;TOP
DCCT01;SPDRA_0001;NÃO TOP
DDCO01;SPDDA_0001;TOP
DDJN01;SPDDA_0011;TOP
DDJO01;SPDDA_0002;TOP
DDJP01;SPDDA_0003;NÃO TOP
DDJR01;SPDDA_0004;TOP
DDMH01;SPDDA_0005;TOP
DDPA01;SPDDA_0006;TOP
DDPJ01;SPDDA_0007;NÃO TOP
DDSN01;SPDDA_0008;TOP
DDVC01;SPDDA_0009;TOP
DECT01;SPCCD_0001;NÃO TOP
DFCT01;SPPFA_0001;NÃO TOP
DGCT01;SPDGS_0001;TOP
DGRD01;SPDGS_0002;TOP
DHCT01;SPAHV_0001;NÃO TOP
DLCT01;SPPLL_0001;NÃO TOP
DMCT01;SPDUT_0001;TOP
DOCT01;SPDUD_0001;NÃO TOP
DRCT01;SPSPD_0001;NÃO TOP
DSCT01;SPPDE_0001;TOP
DUCT01;SPDNA_0001;NÃO TOP
DVCT01;SPDCV_0001;NÃO TOP
DYCT01;SPDVN_0001;NÃO TOP
EACT01;SPEHP_0001;NÃO TOP
EBDJ01;SPEMB_0001;TOP
EBEP01;SPEMB_0002;NÃO TOP
EBJC01;SPTBS_0001;NÃO TOP
EBJF01;SPEMB_0003;TOP
EBJS01;SPEMB_0004;NÃO TOP
EBJS02;SPEMB_0005;NÃO TOP
EBML01;SPTBS_0002;TOP
EBSM01;SPEMB_0006;TOP
EBVA01;SPEMB_0007;NÃO TOP
ECCT01;SPEGCO0001;NÃO TOP
EDRD01;SPESE_0001;TOP
EECT01;SPIPE_0001;NÃO TOP
EFCT01;SPEFO_0001;NÃO TOP
EGJS01;SPEBG_0001;TOP
EHCT01;SPPGL_0001;TOP
EICT01;SPCEY_0001;NÃO TOP
ELCT01;SPELD_0001;NÃO TOP
EMCT01;SPPCB_0001;TOP
ENCT01;SPSBD_0001;NÃO TOP
EOCT01;SPMGL_0001;NÃO TOP
EPCT01;SPPSE_0001;NÃO TOP
ERCT01;SPSRA_0001;TOP
ESJR01;SPESP_0001;TOP
ESRD01;SPESP_0002;TOP
ETCT01;SPPIE_0001;NÃO TOP
EUCT01;SPNEU_0001;NÃO TOP
EVCT01;SPETVA0001;TOP
EYCT01;SPPPA_0001;TOP
FC054R;SPFAC_0014;NÃO TOP
FCCA01;SPFAC_0001;NÃO TOP
FCCS01;SPFAC_0002;NÃO TOP
FCCT01;SPFAC_0003;TOP
FCDI01;SPFAC_0004;NÃO TOP
FCJA01;SPFAC_0005;NÃO TOP
FCJB01;SPFAC_0006;NÃO TOP
FCJC01;SPFAC_0007;NÃO TOP
FCJN01;SPFAC_0009;NÃO TOP
FCJP01;SPFAC_0013; NÃO TOP
FCJR01;SPFAC_0010;NÃO TOP
FCPH01;SPFAC_0011;NÃO TOP
FCVA01;SPFAC_0012;NÃO TOP
FMNB01;SPFAT_0001;TOP
FPRD01;SPFPT_0001;TOP
FRBC01;SPFCR_0001;TOP
FRCT01;SPFCR_0003;TOP
FRSR01;SPCJR_0005;NÃO TOP
FTCT01;SPFTA_0001;NÃO TOP
FVJH01;SPFAV_0001;NÃO TOP
FVPD01;SPFAV_0002;TOP
GACT01;SPGAR_0001;NÃO TOP
GARD01;SPGAR_0002;TOP
GARD02;SPGAR_0003;TOP
